Name,Year,hkls_name,hkls_link,price_name,price_link,wastons_name,wastons_link,masterofmalt_id,masterofmalt_url
Glendronach,12,The GlenDronach 12 Years Sauternes Wood Finish Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-12-years-sauternes-wood-finish-single-malt-whisky.html,The GlenDronach Original Aged 12 Years,https://www.price.com.hk/product.php?p=217778,The Glendronach 12 Year Old Original,https://www.watsonswine.com/en/wine/the-glendronach-12-year-old-original/p/BP_306164,2017,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-12-year-old-whisky/?srh=1
Glendronach,21,The GlenDronach 21 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-21-years-single-malt-whisky.html,The GlenDronach Parliament Aged 21 Years,https://www.price.com.hk/product.php?p=291804,,,14533,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-21-year-old-parliament-whisky/?srh=1
Glenmorangie,12,Ardbeg Ten Years Old Single Malt Whisky,https://www.hkliquorstore.com/index.php/ardbeg-ten-years-old-single-malt-whisky.html,Glenmorangie Lasanta 12,https://www.price.com.hk/product.php?p=232841,Glenmorangie Single Malt The Lasanta 12 Year Old,https://www.watsonswine.com/en/wine/glenmorangie-single-malt-the-lasanta-12-year-old/p/BP_380148,37185,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-lasanta-12-year-old-whisky/?srh=1
Caol Ila,12,Caol Ila 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/caol-ila-12-years-single-malt-whisky.html,Caol Ila Aged 12 Years 70cl,https://www.price.com.hk/product.php?p=324518,Caol Ila 12 Years Old,https://www.watsonswine.com/en/wine/caol-ila-12-years-old/p/BP_483834,1915,https://www.masterofmalt.com/whiskies/caol-ila-12-year-old-whisky/?srh=1
Cragganmore,12,Cragganmore 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/cragganmore-12-years-single-malt-whisky.html,Cragganmore 12 Years Old,https://www.price.com.hk/product.php?p=375493,Cragganmore 12 Years Old Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/cragganmore-12-years-old-single-malt-scotch-whisky/p/BP_123372,1933,https://www.masterofmalt.com/whiskies/cragganmore-12-year-old-whisky/?srh=1
Glenfarclas,15,,,,,,,2073,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-15-year-old-whisky/?srh=1
Glenfiddich,15,Glenfiddich 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfiddich-15-years-single-malt-whisky.html,Glenfiddich 15 Year Old Solera,https://www.price.com.hk/product.php?p=458685,Glenfiddich 15 Year Old Single Malt Whisky,https://www.watsonswine.com/en/wine/glenfiddich-15-year-old-single-malt-whisky/p/BP_129302,2077,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-15-year-old-solera-whisky/?srh=1
Glenlivet,12,The Glenlivet 12 Years Excellence Single Malt Whisky,https://www.hkliquorstore.com/index.php/asia-miles/the-glenlivet-12-years-excellence-single-malt-whisky.html,Glenlivet 12 Years Old,https://www.price.com.hk/product.php?p=234559,The Glenlivet 12 Year Old Single Malt Whisky,https://www.watsonswine.com/en/wine/the-glenlivet-12-year-old-single-malt-whisky/p/BP_389846,100200,https://www.masterofmalt.com/whiskies/the-glenlivet/the-glenlivet-12-year-old-whisky/?srh=1
Aberlour,18,Aberlour 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/aberlour-18-years-single-malt-whisky.html,Aberlour 18 Years Old Highland Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=280406,,,79710,https://www.masterofmalt.com/whiskies/aberlour/aberlour-18-year-old-whisky/?srh=1
Glendronach,15,The GlenDronach 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-15-years-single-malt-whisky.html,The GlenDronach Revival Aged 15 Years,https://www.price.com.hk/product.php?p=230736,The Glendronach 15 Year Old Revival,https://www.watsonswine.com/en/wine/the-glendronach-15-year-old-revival/p/BP_347575,82457,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-15-year-old-revival-whisky/?srh=1
Cardhu,12,Cardhu 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/cardhu-12-years-single-malt-whisky.html,Cardhu 12 Years Old Single Malt Whisky,https://www.price.com.hk/product.php?p=446027,,,1921,https://www.masterofmalt.com/whiskies/cardhu-12-year-old-whisky/?srh=1
Glendronach,18,The GlenDronach 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-18-years-single-malt-whisky.html,The GlenDronach Allardice Aged 18 Years,https://www.price.com.hk/product.php?p=218044,The Glendronach 18 Year Old Allardice,https://www.watsonswine.com/en/wine/the-glendronach-18-year-old-allardice/p/BP_159267,3984,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-18-year-old-allardice-whisky/?srh=1
Bushmills,10,Bushmills 10 Years Single Malt Irish Whiskey,https://www.hkliquorstore.com/index.php/bushmills-10-years-single-malt-irish-whiskey.html,Bushmills Single Melt Whiskey 10 Year Old,https://www.price.com.hk/product.php?p=463193,,,2684,https://www.masterofmalt.com/whiskies/bushmills/bushmills-10-year-old-whiskey/?srh=1
Highland Park,18,Highland Park Viking Pride 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/highland-park-viking-pride-18-years-single-malt-whisky.html,Highland Park Viking Pride 18 Year Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=394099,Highland Park 18 Year Old Single Malt Whisky,https://www.watsonswine.com/en/wine/highland-park-18-year-old-single-malt-whisky/p/BP_132251,2403,https://www.masterofmalt.com/whiskies/highland-park-18-year-old-old-bottling-whisky/?srh=1
Glenfarclas,25,Glenfarclas 25 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfarclas-25-years-single-malt-whisky.html,Glenfarclas 25 Year Old,https://www.price.com.hk/product.php?p=275966,,,2020,https://www.masterofmalt.com/whiskies/glenfarclas-25-year-old-whisky/?srh=1
Glenfarclas,12,Glenfarclas 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfarclas-12-years-single-malt-whisky.html,"Glenfarclas 12 Years Old Highland Single Malt Scotch Whisky, Speyside, 1L",https://www.price.com.hk/product.php?p=394103,,,62132,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-12-year-old-1l-whisky/?srh=1
Glenfiddich,18,Glenfiddich 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfiddich-18-years-single-malt-whisky.html,Glenfiddich 18 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=218364,Glenfiddich 18 Year Old Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/glenfiddich-18-year-old-single-malt-scotch-whisky/p/BP_129303,2079,https://www.masterofmalt.com/whiskies/glenfiddich-18-year-old-whisky/?srh=1
Glenlivet,18,The Glenlivet 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/asia-miles/the-glenlivet-18-years-single-malt-whisky.html,The Glenlivet 18 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=213432,The Glenlivet 18 Year Old Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/the-glenlivet-18-year-old-single-malt-scotch-whisky/p/BP_196154,2527,https://www.masterofmalt.com/whiskies/the-glenlivet-18-year-old-whisky/?srh=1
Aberlour,12,Aberlour 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/aberlour-12-years-single-malt-whisky.html,Aberlour 12 Years Old Highland Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=226933,Aberlour 12 YO Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/aberlour-12-yo-single-malt-scotch-whisky/p/BP_473690,31260,https://www.masterofmalt.com/whiskies/aberlour/aberlour-12-year-old-non-chill-filtered-whisky/?srh=1
Bowmore,18,Bowmore 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/bowmore-18-years-single-malt-whisky.html,Bowmore Aged 18 Years Islay Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=218968,BOWMORE 18 YEARS SINGLE MALT,https://www.watsonswine.com/en/wine/bowmore-18-years-single-malt/p/BP_120484,1857,https://www.masterofmalt.com/whiskies/bowmore-18-year-old-whisky/?srh=1
Auchentoshan,12,Auchentoshan 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/auchentoshan-12-years-single-malt-whisky.html,Auchentoshan 12 Years Single Malt Whisky 70cl,https://www.price.com.hk/product.php?p=220554,,,1747,https://www.masterofmalt.com/whiskies/auchentoshan-12-year-old-whisky/?srh=1
Glenkinchie,12,Glenkinchie 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenkinchie-12-years-single-malt-whisky.html,Glenkinchie 12 Years Old 70cl,https://www.price.com.hk/product.php?p=324127,Glenkinchie 12 Year Old Scotch Whisky,https://www.watsonswine.com/en/wine/glenkinchie-12-year-old-scotch-whisky/p/BP_483835,2113,https://www.masterofmalt.com/whiskies/glenkinchie/glenkinchie-12-year-old-whisky/?srh=1
The Singleton of Dufftown,12,The Singleton Of Dufftown 12 Years Single Malt,https://www.hkliquorstore.com/index.php/the-singleton-of-dufftown12-years-single-malt.html,,,,,2562,https://www.masterofmalt.com/whiskies/singleton-of-dufftown-12-year-old-whisky/?srh=1
Edradour,10,,,,,,,1969,https://www.masterofmalt.com/whiskies/edradour-10-year-old-whisky/?srh=1
Springbank,10,Springbank 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/springbank-10-years-single-malt-whisky.html,Springbank 10 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=484617,,,2593,https://www.masterofmalt.com/whiskies/springbank/springbank-10-year-old-whisky/?srh=1
Glenfarclas,21,Glenfarclas 21 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfarclas-21-years-single-malt-whisky.html,Glenfarclas 21 Year Old,https://www.price.com.hk/product.php?p=275965,,,2030,https://www.masterofmalt.com/whiskies/glenfarclas-21-year-old-whisky/?srh=1
Aberlour,15,,,,,,,1715,https://www.masterofmalt.com/whiskies/aberlour-15-year-old-whisky/?srh=1
Glenfarclas,18,,,Glenfarclas 18 Year Old Single Malt,https://www.price.com.hk/product.php?p=230354,,,48327,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-18-year-old-whisky/
Benriach,12,The BenRiach 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-benriach-12-years-single-malt-whisky.html,Benriach 12 Years Old 3 Way Sherry Matured - 70cl,https://www.price.com.hk/product.php?p=409608,,,103339,https://www.masterofmalt.com/whiskies/benriach/benriach-the-smoky-twelve-whisky/?srh=1
Macallan,12,The Macallan 12 Years Sherry Oak Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-macallan-12-years-sherry-oak-single-malt-whisky.html,The Macallan Sherry Oak 12 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=213427,,,2536,https://www.masterofmalt.com/whiskies/the-macallan-12-year-old-sherry-oak-whisky/?srh=1
Dalmore,15,The Dalmore 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-dalmore-15-years-single-malt-whisky.html,The Dalmore 15 Years Old Highland Single Malt Scotch Whisky 700ml,https://www.price.com.hk/product.php?p=232188,,,1948,https://www.masterofmalt.com/whiskies/dalmore-15-year-old-whisky/?srh=1
Clynelish,14,Clynelish 14 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/clynelish-14-years-single-malt-whisky.html,Clynelish Aged 14 Years,https://www.price.com.hk/product.php?p=375491,CLYNELISH 14 YEARS OLD SINGLE MALT,https://www.watsonswine.com/en/wine/clynelish-14-years-old-single-malt/p/BP_368968,1927,https://www.masterofmalt.com/whiskies/clynelish-14-year-old-whisky/?srh=1
Bakers,7,,,,,,,2943,https://www.masterofmalt.com/whiskies/bakers/bakers-7-year-old-whiskey/?srh=1
Edradour,12,,,,,,,3177,https://www.masterofmalt.com/whiskies/edradour-caledonia-12-year-old-whisky/?srh=1
Laphroaig,18,Laphroaig 18 Years Single Malt Scotch Whisky,https://www.hkliquorstore.com/index.php/laphroaig-18-years-single-malt-scotch-whisky.html,Laphroaig 18 Year Old (New) 70cl,https://www.price.com.hk/product.php?p=409756,,,3030,https://www.masterofmalt.com/whiskies/laphroaig-18-year-old-whisky/?srh=1
Johnnie Walker,12,Johnnie Walker Black Label 12 Years,https://www.hkliquorstore.com/index.php/johnnie-walker-black-label-12-years.html,Johnnie Walker Black Label Aged 12 Years (Gift Box),https://www.price.com.hk/product.php?p=494426,Johnnie Walker Black Label,https://www.watsonswine.com/en/wine/johnnie-walker-black-label/p/BP_324182,2422,https://www.masterofmalt.com/whiskies/johnnie-walker-black-label-12-year-old-whisky/?srh=1
Redbreast,12,Redbreast 12 Years Single Pot Still Irish Whiskey,https://www.hkliquorstore.com/index.php/redbreast-12-years-single-pot-still-irish-whiskey.html,Redbreast 12 Year Old Whiskey,https://www.price.com.hk/product.php?p=492615,,,109249,https://www.masterofmalt.com/whiskies/redbreast/redbreast-12-year-old-whiskey/?srh=1
Ledaig,10,Ledaig 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/ledaig-10-years-single-malt-whisky.html,Ledaig 10 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=232826,,,2547,https://www.masterofmalt.com/whiskies/ledaig-10-year-old-whisky/?srh=1
Springbank,15,Springbank 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/springbank-15-years-single-malt-whisky.html,Springbank 15 Year Old (New) 70cl,https://www.price.com.hk/product.php?p=409799,,,2595,https://www.masterofmalt.com/whiskies/springbank-15-year-old-whisky/?srh=1
Bushmills,16,Bushmills 16 Years Single Malt Irish Whiskey,https://www.hkliquorstore.com/index.php/bushmills-16-years-single-malt-irish-whiskey.html,Bushmills Single Malt Irish Whiskey 16 Year Old,https://www.price.com.hk/product.php?p=475841,,,9459,https://www.masterofmalt.com/whiskies/bushmills/bushmills-16-year-old-whiskey/?srh=1
Glenlivet,15,The Glenlivet 15 Years French Oak Reserve Single Malt Whisky,https://www.hkliquorstore.com/index.php/asia-miles/the-glenlivet-15-years-french-oak-reserve-single-malt-whisky.html,Glenlivet 15 Years Old,https://www.price.com.hk/product.php?p=234558,The Glenlivet 15 Year Old French Oak Reserve Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/the-glenlivet-15-year-old-french-oak-reserve-single-malt-scotch-whisky/p/BP_195853,2525,https://www.masterofmalt.com/whiskies/the-glenlivet-15-year-old-french-oak-reserve-whisky/?srh=1
Highland Park,12,Highland Park Viking Honour 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/highland-park-viking-honour-12-years-single-malt-whisky.html,Highland Park 12 Years Old Viking Honour,https://www.price.com.hk/product.php?p=286060,,,64362,https://www.masterofmalt.com/whiskies/highland-park/highland-park-12-year-old-viking-honour-whisky/?srh=1
Deanston,12,Deanston 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/deanston-12-years-single-malt-whisky.html,Deanston 12 Years Old Highland Single Malt Whisky,https://www.price.com.hk/product.php?p=496520,,,1955,https://www.masterofmalt.com/whiskies/deanston-12-year-old-whisky/?srh=1
Glen Garioch,12,Glen Garioch 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glen-garioch-12-years-single-malt-whisky.html,Glen Garioch Virgin Oak Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=239991,,,5989,https://www.masterofmalt.com/whiskies/glen-garioch/glen-garioch-12-year-old-whisky/?srh=1
Johnnie Walker,15,,,Johnnie Walker Green Label Aged 15 Years Blended Malt Scotch Whisky,https://www.price.com.hk/product.php?p=463990,,,2428,https://www.masterofmalt.com/whiskies/johnnie-walker-green-label-15-year-old-whisky/?srh=1
Arran,10,Arran 10 Years Non-chill Filtered Single Malt Whisky,https://www.hkliquorstore.com/index.php/arran-10-years-non-chill-filtered-single-malt-whisky.html,Arran 10 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=485477,,,1743,https://www.masterofmalt.com/whiskies/arran/arran-10-year-old-whisky/?srh=1
Tobermory,10,Tobermory 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/tobermory-10-years-single-malt-whisky.html,Tobermory 10 years old Whisky,https://www.price.com.hk/product.php?p=232830,,,2619,https://www.masterofmalt.com/whiskies/tobermory-10-year-old-whisky/?srh=1
Benriach,10,The BenRiach 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-benriach-10-years-single-malt-whisky.html,Benriach Single Malt Scotch Whisky 10 Years old,https://www.price.com.hk/product.php?p=336603,,,41309,https://www.masterofmalt.com/whiskies/benriach/benriach-10-year-old-whisky/?srh=1
