Name,Year,hkls_name,hkls_link,Price,Stock,Volume
Pulteney,12,Old Pulteney 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/old-pulteney-12-years-single-malt-whisky.html,588,True,700ml
Ballechin,10,,,,,
Arran,14,,,,,
Glenmorangie,14,Glenmorangie The Quinta Ruban 14 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenmorangie-the-quinta-ruban-14-years-single-malt-whisky.html,698,True,700ml
Tomatin,18,,,,,
Craigellachie,13,Craigellachie 13 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/craigellachie-13-years-single-malt-whisky.html,668,False,700ml
Port Charlotte,10,Bruichladdich 10 Years Port Charlotte Heavily Peated Islay Single Malt,https://www.hkliquorstore.com/index.php/bruichladdich-10-years-port-charlotte-heavily-peated-islay-single-malt.html,798,True,700ml
Glenlivet,21,The Glenlivet 21 Years Archive Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glenlivet-21-years-archive-single-malt-whisky.html,1998,True,700ml
Caol Ila,25,Caol Ila 25 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/caol-ila-25-years-single-malt-whisky.html,2398,True,700ml
Cardhu,15,,,,,
Jura,10,Isle of Jura Origin 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/isle-of-jura-origin-10-years-single-malt-whisky.html,798,True,1L
Macallan,18,The Macallan 18 Years Sherry Oak Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-macallan-18-years-sherry-oak-single-malt-whisky.html,2880,False,700ml
Redbreast,15,,,,,
Glengoyne,18,,,,,
Glengoyne,10,,,,,
Ardbeg,5,Ardbeg Wee Beastie 5 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/ardbeg-wee-beastie-5-years-single-malt-whisky.html,598,True,700ml
Glenallachie,12,The GlenAllachie 12 Years Speyside Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glenallachie-12-years-speyside-single-malt-whisky.html,878,True,700ml
Chivas Regal,18,Chivas Regal 18 Years,https://www.hkliquorstore.com/index.php/chivas-regal-18-years.html,828,True,700ml
Bruichladdich,the classic laddie,Bruichladdich Scottish Barley The Classic Laddie,https://www.hkliquorstore.com/index.php/bruichladdich-scottish-barley-the-classic-laddie.html,648,True,700ml
Glen Moray,15,,,,,
Aberfeldy,16,Aberfeldy 16 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/aberfeldy-16-years-single-malt-whisky.html,1278,True,700ml
Glenallachie,10,The GlenAllachie 10 Years Cask Strength Batch 4 Speyside Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glenallachie-10-years-cask-strength-batch-4-speyside-single-malt-whisky.html,998,False,700ml
